title,authors,Annee,Pays,Journal,Quartile,Citations,Impact_Score,abstract_
,,2024,Canada,ACM Digital Library,Q1,18,9.43,N/A
Blockchain Inception: Scheduling and Caching Optimizations for supporting a PoW Blockchain on the Internet Computer (Industry Track),"Maksym Arutyunyan, Andriy Berestovskyy, Adam Bratschi-Kaye, Dragoljub Đurić, + 4",2025,Brazil,ACM Digital Library,Q3,83,4.65,N/A
"Blockchain Security and Privacy: Threats, Challenges, Applications, and Tools","Ahod Alghuried, Mohammed Alkinoon, Manar Mohaisen, An Wang, Cliff Zou, + 1",2025,Brazil,ACM Digital Library,Q2,86,8.63,N/A
Key Determinants of Blockchain Adoption: A Unified Framework Integrating UTAUT and TOE Models,"Kelwin Seen Tiong Tan, Angela Siew Hoong Lee",2025,India,ACM Digital Library,Q2,29,9.99,N/A
Machine Learning for Blockchain Data Analysis: Progress and Opportunities,"Poupak Azad, Cuneyt Gurcan Akcora, Arijit Khan",2025,Canada,ACM Digital Library,Q1,23,5.89,N/A
Design of Educational Data Management System with Blockchain and High Functional Digital Signatures,"Yudai Hata, Kouichi Sakurai",2025,UK,ACM Digital Library,Q2,6,3.06,N/A
An Approach of Monitoring the Vehicle's Condition Based on Blockchain and Smart Contracts,"Stanislav Ivanovich Trofimov, Leonid Sergeevich Voskov, Mikhail Mikhailovich Komarov",2025,China,ACM Digital Library,Q1,100,6.7,N/A
Exploring Consumer Trust for Blockchain Adoption for Digital Payment Systems in Bhutan,"Tenzin Norbu, Joo Yeon Park, Kok Wai Wong, Hui Cui",2025,USA,ACM Digital Library,Q1,48,4.07,N/A
Calling for Play-Oriented Research on Blockchain Video Games: An Overview Study,"Hugh X. Liu, Jussi P. Holopainen",2025,France,ACM Digital Library,Q2,84,6.04,N/A
Operational Decision-Making in Capital-Constrained Supply Chains with Channel Encroachment and Blockchain Adoption,"Manru Li, Zegang Zhang, Silin He",2025,Brazil,ACM Digital Library,Q2,40,4.01,N/A
Research into the integration of blockchain technology and full life cycle auditing of PPP projects,"Yanru Kong, Jiawu Yue",2025,UK,ACM Digital Library,Q2,43,2.41,N/A
A Lightweighted Blockchain Deploying Method in IoT Systems,"Ruihan Wang, Qi Wang, Siyao Cheng, Dongbo Li, Jie Liu",2025,Germany,ACM Digital Library,Q1,81,4.31,N/A
Safeguarding Blockchain Ecosystem: Understanding and Detecting Attack Transactions on Cross-chain Bridges,"Jiajing Wu, Kaixin Lin, Dan Lin, Bozhao Zhang, Zhiying Wu, Jianzhong Su",2025,France,ACM Digital Library,Q2,28,4.0,N/A
Poisoning-Resilient Federated Learning for MEC-IoT Environments Using Blockchain,"Luis Miguel García-Sáez, Sergio Ruiz-Villafranca, José Roldán-Gómez, Javier Carrillo-Mondéjar, + 1",2026,Brazil,ACM Digital Library,Q1,6,6.38,N/A
